Location,Pop Total
Afghanistan,35383.028
Africa,1213040.542
African Group,1211379.638
African Union,1211918.382
African Union: Central Africa,140710.302
African Union: Eastern Africa,353241.036
African Union: Northern Africa,192623.121
African Union: Southern Africa,168186.105
African Union: Western Africa,357157.818
"African, Caribbean and Pacific (ACP) Group of States",1064364.411
Albania,2886.427
Algeria,40551.398
American Samoa,55.739
Andean Community,106624.022
Andorra,77.295
Angola,28842.482
Anguilla,14.435
Antigua and Barbuda,94.52
Argentina,43508.459
Armenia,2936.147
Aruba,104.865
Asia,4476607.792
Asia-Pacific Economic Cooperation (APEC),2902584.358
Asia-Pacific Group,4457833.029
Association of Southeast Asian Nations (ASEAN),640247.351
Australia,24262.71
Australia/New Zealand,28921.975
Austria,8747.306
Azerbaijan,9736.041
BRIC,3090005.033
BRICS,3146212.682
Bahamas,377.923
Bahrain,1425.793
Bangladesh,157977.151
Barbados,285.798
Belarus,9445.638
Belgium,11354.407
Belize,368.399
Belt-Road Initiative (BRI),3203788.197
Belt-Road Initiative: Africa,1080483.455
Belt-Road Initiative: Asia,1491565.843
Belt-Road Initiative: Europe,415916.293
Belt-Road Initiative: Latin America and the Caribbean,201315.813
Belt-Road Initiative: Pacific,14506.793
Benin,10872.072
Bermuda,63.36
Bhutan,736.706
Black Sea Economic Cooperation (BSEC),339874.409
Bolivarian Alliance for the Americas (ALBA),59139.363
Bolivia (Plurinational State of),11031.822
"Bonaire, Sint Eustatius and Saba",25.017
Bosnia and Herzegovina,3386.263
Botswana,2159.925
Brazil,206163.056
British Virgin Islands,29.355
Brunei Darussalam,419.791
Bulgaria,7151.948
Burkina Faso,18646.35
Burundi,10488.002
Cabo Verde,531.14
Cambodia,15766.29
Cameroon,23926.549
Canada,36382.942
Caribbean,42827.506
Caribbean Community and Common Market (CARICOM),18114.339
Cayman Islands,62.564
Central African Republic,4537.683
Central America,171152.167
Central Asia,69672.928
Central European Free Trade Agreement (CEFTA),26109.294
Central and Southern Asia,1920242.522
Chad,14561.658
Channel Islands,166.922
Chile,18209.072
China,1414049.353
China (and dependencies),1445523.919
"China, Hong Kong SAR",7243.541
"China, Macao SAR",612.824
"China, Taiwan Province of China",23618.201
Colombia,48175.048
Commonwealth of Independent States (CIS),285845.849
Commonwealth of Nations,2422226.857
Commonwealth: Africa,527936.35
Commonwealth: Asia,1743905.002
Commonwealth: Caribbean and Americas,43087.444
Commonwealth: Europe,67904.232
Commonwealth: Pacific,39393.829
Comoros,795.597
Congo,4980.996
Cook Islands,17.521
Costa Rica,4899.336
Countries with Access to the Sea,6916776.696
Countries with Access to the Sea: Africa,907350.629
Countries with Access to the Sea: Asia,4320977.306
Countries with Access to the Sea: Europe,676153.651
Countries with Access to the Sea: Latin America and the Caribbean,612334.844
Countries with Access to the Sea: Northern America,359524.635
Countries with Access to the Sea: Oceania,40435.631
Croatia,4208.611
Cuba,11335.108
Cura��ao,161.055
Cyprus,1170.189
Czechia,10618.868
C��te d'Ivoire,23822.726
Dem. People's Republic of Korea,25307.665
Democratic Republic of the Congo,78789.13
Denmark,5711.346
Denmark (and dependencies),5815.927
Djibouti,929.117
Dominica,71.307
Dominican Republic,10397.738
ECE: North America-2,359398.934
ECE: UNECE-52,1278615.895
