Location,Median Pop Total
Holy See,0.791
Tokelau,1.276
Niue,1.611
Falkland Islands (Malvinas),2.926
Montserrat,4.978
Saint Pierre and Miquelon,5.933
Saint Helena,5.958
Saint Barth��lemy,9.745
Nauru,10.474
Tuvalu,11.232
Wallis and Futuna Islands,12.098
Anguilla,14.435
Cook Islands,17.521
Palau,17.718
"Bonaire, Sint Eustatius and Saba",25.017
British Virgin Islands,29.355
San Marino,33.503
Gibraltar,33.738
Saint Martin (French part),36.061
Turks and Caicos Islands,36.558
Liechtenstein,37.655
Monaco,38.07
Sint Maarten (Dutch part),40.812
Faroe Islands,48.173
Saint Kitts and Nevis,51.629
American Samoa,55.739
Northern Mariana Islands,56.187
Greenland,56.408
Marshall Islands,57.723
Cayman Islands,62.564
Bermuda,63.36
Dominica,71.307
Andorra,77.295
Isle of Man,83.296
Antigua and Barbuda,94.52
Seychelles,95.711
Tonga,101.143
United States Virgin Islands,104.829
Aruba,104.865
Saint Vincent and the Grenadines,109.467
Micronesia (Fed. States of),110.215
Grenada,110.263
Kiribati,112.529
Cura��ao,161.055
Guam,162.948
Channel Islands,166.922
Saint Lucia,180.028
Samoa,194.54
Sao Tome and Principe,203.221
Mayotte,246.46
French Guiana,267.824
New Caledonia,274.19
French Polynesia,274.576
Vanuatu,278.326
Barbados,285.798
Iceland,332.209
Belize,368.399
Martinique,376.789
Bahamas,377.923
Guadeloupe,399.76
Brunei Darussalam,419.791
Malta,436.099
Maldives,475.505
Micronesia,527.794
Cabo Verde,531.14
Western Sahara,538.744
Suriname,564.883
Luxembourg,579.266
"China, Macao SAR",612.824
Solomon Islands,619.438
Montenegro,627.271
Polynesia,669.736
Bhutan,736.706
Guyana,771.363
Comoros,795.597
R��union,869.742
Fiji,872.406
Djibouti,929.117
Least developed: Oceania,1021.525
Eswatini,1113.994
Cyprus,1170.189
Equatorial Guinea,1215.181
Timor-Leste,1219.289
Mauritius,1261.87
Estonia,1316.507
Trinidad and Tobago,1377.563
Bahrain,1425.793
Non-Self-Governing Territories,1666.174
Guinea-Bissau,1782.434
Latvia,1974.265
Gabon,2007.882
Slovenia,2074.205
Lesotho,2075.041
North Macedonia,2080.746
Gambia,2149.134
Botswana,2159.925
Namibia,2358.044
UNICEF Programme Regions: Eastern Caribbean,2365.901
Qatar,2654.379
No income group available,2801.608
Albania,2886.427
Lithuania,2889.555
Jamaica,2906.242
Armenia,2936.147
Mongolia,3056.358
Puerto Rico,3283.121
Eritrea,3376.558
Bosnia and Herzegovina,3386.263
Uruguay,3424.139
Kuwait,3956.862
Georgia,4015.457
Panama,4037.073
Republic of Moldova,4066.013
Mauritania,4163.532
Croatia,4208.611
Oman,4479.217
Central African Republic,4537.683
Liberia,4586.788
State of Palestine,4635.644
New Zealand,4659.265
New Zealand (and dependencies),4679.673
Ireland,4695.79
