Day of Date,Type,Region,Average Price
"December 27, 2015",conventional,Albany,1.33
"December 20, 2015",conventional,Albany,1.35
"December 13, 2015",conventional,Albany,0.93
"December 6, 2015",conventional,Albany,1.08
"November 29, 2015",conventional,Albany,1.28
"November 22, 2015",conventional,Albany,1.26
"November 15, 2015",conventional,Albany,0.99
"November 8, 2015",conventional,Albany,0.98
"November 1, 2015",conventional,Albany,1.02
"October 25, 2015",conventional,Albany,1.07
"October 18, 2015",conventional,Albany,1.12
"October 11, 2015",conventional,Albany,1.28
"October 4, 2015",conventional,Albany,1.31
"September 27, 2015",conventional,Albany,0.99
"September 20, 2015",conventional,Albany,1.33
"September 13, 2015",conventional,Albany,1.28
"September 6, 2015",conventional,Albany,1.11
"August 30, 2015",conventional,Albany,1.07
"August 23, 2015",conventional,Albany,1.34
"August 16, 2015",conventional,Albany,1.33
"August 9, 2015",conventional,Albany,1.12
"August 2, 2015",conventional,Albany,1.45
"July 26, 2015",conventional,Albany,1.11
"July 19, 2015",conventional,Albany,1.26
"July 12, 2015",conventional,Albany,1.05
"July 5, 2015",conventional,Albany,1.35
"June 28, 2015",conventional,Albany,1.37
"June 21, 2015",conventional,Albany,1.27
"June 14, 2015",conventional,Albany,1.32
"June 7, 2015",conventional,Albany,1.07
"May 31, 2015",conventional,Albany,1.23
"May 24, 2015",conventional,Albany,1.19
"May 17, 2015",conventional,Albany,1.43
"May 10, 2015",conventional,Albany,1.26
"May 3, 2015",conventional,Albany,1.2
"April 26, 2015",conventional,Albany,1.22
"April 19, 2015",conventional,Albany,1.19
"April 12, 2015",conventional,Albany,1.13
"April 5, 2015",conventional,Albany,1.16
"March 29, 2015",conventional,Albany,1.02
"March 22, 2015",conventional,Albany,1.12
"March 15, 2015",conventional,Albany,1.11
"March 8, 2015",conventional,Albany,1.07
"March 1, 2015",conventional,Albany,0.99
"February 22, 2015",conventional,Albany,1.07
"February 15, 2015",conventional,Albany,1.06
"February 8, 2015",conventional,Albany,0.99
"February 1, 2015",conventional,Albany,0.99
"January 25, 2015",conventional,Albany,1.06
"January 18, 2015",conventional,Albany,1.17
"January 11, 2015",conventional,Albany,1.24
"January 4, 2015",conventional,Albany,1.22
"January 3, 2016",conventional,Albany,1.03
"January 10, 2016",conventional,Albany,1.28
"January 17, 2016",conventional,Albany,1.26
"January 24, 2016",conventional,Albany,1.22
"January 31, 2016",conventional,Albany,1.16
