Taster Name,Title,Avg. Points,Avg. Price,Points
Anna Lee C. Iijima,Wölffer 2016 Summer in a Bottle White (Long Island),89,24,89
Anna Lee C. Iijima,Wölffer 2016 Summer in a Bottle Rosé (Long Island),90,24,180
Anna Lee C. Iijima,Wölffer 2016 Sauvignon Blanc (Long Island),87,22,174
Anna Lee C. Iijima,Wölffer 2016 Grandioso Rosé (Long Island),90,30,90
Anna Lee C. Iijima,Wölffer 2015 Summer in Bottle Rosé (North Fork of Long Island),90,24,180
Anna Lee C. Iijima,Wölffer 2015 Rosé (North Fork of Long Island),88,18,88
Anna Lee C. Iijima,Wölffer 2015 Grandioso Rosé (North Fork of Long Island),90,29,90
Anna Lee C. Iijima,Wölffer 2015 Descencia Botrytis Late Harvest White (North Fork of Long Island),94,40,94
Anna Lee C. Iijima,Wölffer 2015 Chardonnay (Long Island),87,19,87
Anna Lee C. Iijima,"Wölffer 2014 Trebbiano (The Hamptons, Long Island)",86,22,86
Anna Lee C. Iijima,Wölffer 2014 Summer in a Bottle Rosé (Long Island),90,24,180
Anna Lee C. Iijima,Wölffer 2014 Sauvignon Blanc (Long Island),90,22,90
Anna Lee C. Iijima,Wölffer 2014 Rosé (Long Island),89,18,89
Anna Lee C. Iijima,"Wölffer 2014 Perle Chardonnay (The Hamptons, Long Island)",90,30,90
Anna Lee C. Iijima,Wölffer 2014 Fatalis Fatum Red (Long Island),91,37,91
Anna Lee C. Iijima,Wölffer 2014 Classic White (Long Island),88,26,88
Anna Lee C. Iijima,Wölffer 2013 Rosé (Long Island),90,17,90
Anna Lee C. Iijima,Wölffer 2013 Landius Pinot Noir (Long Island),90,45,90
Anna Lee C. Iijima,Wölffer 2013 Lambardo Merlot (Long Island),90,35,180
Anna Lee C. Iijima,Wölffer 2013 Grandioso Rosé (Long Island),91,29,91
Anna Lee C. Iijima,Wölffer 2013 Fatalis Fatum Red (Long Island),88,35,88
Anna Lee C. Iijima,"Wölffer 2013 Diosa Late Harvest White (The Hamptons, Long Island)",88,37,88
Anna Lee C. Iijima,Wölffer 2013 Coeur Cheval Petit Verdot (Long Island),89,40,89
Anna Lee C. Iijima,Wölffer 2013 Caya Cabernet Franc (Long Island),89,35,89
Anna Lee C. Iijima,Wölffer 2013 Cassango Cabernet Sauvignon (Long Island),90,40,90
Anna Lee C. Iijima,"Wölffer 2012 White Mischief Chardonnay (The Hamptons, Long Island)",86,35,86
